City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
157,Sur,OM,22.5667,59.5289,87.01,62,58,8.37,broken clouds,2022-08-01 04:13:15
158,Barrow,US,71.2906,-156.7887,35.62,87,100,9.22,overcast clouds,2022-08-01 04:09:40
159,Altay,CN,47.8667,88.1167,79.29,28,9,8.34,clear sky,2022-08-01 04:13:16
160,Victoria,HK,22.2855,114.1577,93.96,69,100,4.0,overcast clouds,2022-08-01 04:08:26
161,Evensk,RU,61.95,159.2333,57.2,72,42,11.1,scattered clouds,2022-08-01 04:13:17
162,Dolores,AR,-36.3132,-57.6792,49.28,80,62,4.36,broken clouds,2022-08-01 04:13:18
163,Srednekolymsk,RU,67.45,153.6833,79.45,32,71,13.94,broken clouds,2022-08-01 04:13:18
164,Kavieng,PG,-2.5744,150.7967,85.12,70,92,17.52,overcast clouds,2022-08-01 04:09:55
165,Minas,UY,-34.3759,-55.2377,45.91,87,14,4.7,few clouds,2022-08-01 04:13:19
166,Chuy,UY,-33.6971,-53.4616,46.31,89,28,2.3,scattered clouds,2022-08-01 04:13:20
167,Port Blair,IN,11.6667,92.75,85.15,75,97,14.63,overcast clouds,2022-08-01 04:13:20
168,Erenhot,CN,43.6475,111.9767,87.24,35,100,10.4,overcast clouds,2022-08-01 04:13:21
169,Dubbo,AU,-32.25,148.6167,59.13,58,40,9.22,scattered clouds,2022-08-01 04:10:11
170,Khatanga,RU,71.9667,102.5,46.63,66,98,10.58,overcast clouds,2022-08-01 04:11:40
171,Maldonado,UY,-34.6667,-54.9167,46.22,88,11,4.16,few clouds,2022-08-01 04:13:22
172,Kulhudhuffushi,MV,6.6221,73.07,78.96,76,100,31.0,light rain,2022-08-01 04:13:23
173,Byron Bay,AU,-28.65,153.6167,66.94,71,100,8.25,overcast clouds,2022-08-01 04:13:24
174,Torata,PE,-17.0769,-70.8433,55.13,31,0,3.15,clear sky,2022-08-01 04:13:25
175,Kautokeino,NO,69.0125,23.0412,52.45,82,74,2.1,broken clouds,2022-08-01 04:13:26
176,Jurm,AF,36.8648,70.8342,73.0,41,62,5.1,broken clouds,2022-08-01 04:13:26
